背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,year
2,田中　広輔,.290,143,679,565,164,8,60,35,89,15,120,6,5,.398,.407,.805,6.41,6.26,広島,2017
9,丸　佳浩,.308,143,651,556,171,23,92,13,83,4,113,2,6,.398,.505,.903,7.70,7.52,広島,2017
33,菊池　涼介,.271,138,629,565,153,14,56,8,32,1,107,30,9,.311,.405,.716,4.10,4.01,広島,2017
51,鈴木　誠也,.300,115,512,437,131,26,90,16,62,6,80,0,12,.389,.547,.936,7.44,7.40,広島,2017
60,安部　友裕,.310,123,455,413,128,4,49,17,27,2,94,12,3,.354,.400,.754,5.38,5.14,広島,2017
55,エルドレッド,.265,116,405,344,91,27,78,0,50,8,111,0,8,.368,.532,.900,6.80,6.90,広島,2017
44,松山　竜平,.326,120,387,350,114,14,77,0,31,0,45,0,8,.375,.534,.909,7.26,7.08,広島,2017
27,會澤　翼,.275,106,329,287,79,6,35,0,22,7,45,10,12,.339,.390,.729,4.23,4.19,広島,2017
25,新井　貴浩,.292,100,288,243,71,9,48,2,40,1,56,0,7,.389,.461,.850,6.55,6.54,広島,2017
63,西川　龍馬,.275,95,220,204,56,5,27,4,10,1,35,3,4,.309,.417,.725,4.46,4.43,広島,2017
31,石原　慶幸,.204,77,167,147,30,1,12,1,10,0,33,8,8,.252,.252,.503,1.36,1.54,広島,2017
95,バティスタ,.256,61,143,125,32,11,26,0,15,1,44,0,3,.336,.560,.896,6.33,6.55,広島,2017
37,野間　峻祥,.189,98,85,74,14,0,2,10,7,0,13,4,1,.259,.203,.462,1.40,1.58,広島,2017
4,小窪　哲也,.175,26,65,57,10,0,8,1,6,0,13,2,3,.254,.211,.464,1.11,1.25,広島,2017
7,堂林　翔太,.217,44,54,46,10,1,11,0,5,0,13,0,0,.278,.304,.582,3.12,3.90,広島,2017
10,岩本　貴裕,.375,33,50,48,18,1,13,0,1,0,15,1,2,.388,.521,.909,6.86,6.25,広島,2017
49,天谷　宗一郎,.189,56,45,37,7,0,2,1,3,1,17,4,0,.268,.216,.485,1.97,2.05,広島,2017
5,ペーニャ,.216,22,39,37,8,0,2,0,2,0,10,0,0,.256,.243,.500,2.01,2.06,広島,2017
40,磯村　嘉孝,.235,21,39,34,8,2,3,0,3,1,8,1,1,.316,.471,.786,4.75,4.77,広島,2017
0,上本　崇司,.125,37,10,8,1,0,0,3,2,0,3,0,0,.300,.125,.425,3.88,4.13,広島,2017
35,下水流　昂,.111,9,9,9,1,0,0,0,0,0,2,0,0,.111,.222,.333,-0.09,-0.07,広島,2017
52,庄司　隼人,.333,6,6,3,1,0,0,0,1,0,1,2,0,.500,.333,.833,5.14,4.93,広島,2017
32,白濱　裕太,.400,3,5,5,2,0,0,1,0,0,2,0,0,.400,.600,1.000,11.52,9.99,広島,2017
61,坂倉　将吾,.250,3,4,4,1,0,2,0,0,0,0,0,0,.250,.250,.500,2.05,2.07,広島,2017
43,土生　翔平,.000,5,2,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,-0.79,-0.68,広島,2017
6,梵　英心,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
38,赤松　真人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
45,桒原　樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
50,髙橋　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
54,船越　涼太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
59,美間　優槻,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
64,多田　大輔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
68,中村　亘佑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
69,青木　陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,広島,2017
1,鳥谷　敬,.293,143,570,488,143,4,41,8,77,2,62,1,13,.390,.377,.767,5.46,5.29,阪神,2017
8,福留　孝介,.263,127,526,441,116,18,79,1,77,3,92,1,17,.373,.444,.818,5.61,5.63,阪神,2017
7,糸井　嘉男,.290,114,493,427,124,17,62,21,59,5,62,0,12,.381,.447,.829,6.23,6.16,阪神,2017
00,上本　博紀,.284,125,488,409,116,9,38,16,50,4,71,23,7,.366,.403,.769,5.47,5.34,阪神,2017
60,中谷　将大,.241,133,455,411,99,20,61,2,36,5,96,0,5,.308,.443,.751,4.78,4.85,阪神,2017
9,髙山　俊,.250,103,353,328,82,6,24,6,21,3,77,0,3,.300,.369,.669,3.90,3.88,阪神,2017
44,梅野　隆太郎,.206,112,340,282,58,2,33,1,24,4,63,27,3,.275,.273,.548,2.39,2.51,阪神,2017
0,大和,.280,100,252,232,65,1,16,2,18,0,37,1,5,.331,.319,.650,3.62,3.59,阪神,2017
2,北條　史也,.210,83,252,219,46,3,20,0,23,1,42,7,4,.286,.301,.587,2.79,2.94,阪神,2017
3,大山　悠輔,.237,75,221,198,47,7,38,2,18,3,41,1,4,.309,.414,.723,4.24,4.28,阪神,2017
94,原口　文仁,.226,73,216,186,42,6,25,0,22,5,36,1,10,.321,.387,.708,3.73,3.83,阪神,2017
68,俊介,.309,74,202,191,59,4,23,1,9,0,33,2,1,.340,.461,.801,5.95,5.58,阪神,2017
33,糸原　健斗,.259,66,193,162,42,1,24,1,23,3,26,5,1,.362,.358,.720,5.05,4.85,阪神,2017
48,ロジャース,.252,40,140,123,31,5,23,0,15,0,26,0,6,.329,.431,.759,4.43,4.55,阪神,2017
12,坂本　誠志郎,.248,42,132,113,28,2,17,0,15,1,32,3,1,.341,.345,.686,4.37,4.30,阪神,2017
5,西岡　剛,.228,32,100,92,21,0,5,3,7,1,17,0,0,.290,.272,.562,2.76,2.76,阪神,2017
51,伊藤　隼太,.261,73,73,69,18,2,9,0,4,0,16,0,1,.301,.377,.678,3.70,3.70,阪神,2017
57,岡﨑　太一,.195,34,54,41,8,2,5,0,5,1,12,7,0,.298,.341,.639,3.28,3.40,阪神,2017
29,キャンベル,.191,21,54,47,9,1,5,0,7,0,17,0,2,.296,.298,.594,2.56,2.67,阪神,2017
37,森越　祐人,.130,29,27,23,3,0,1,0,2,0,10,2,1,.200,.217,.417,0.48,0.53,阪神,2017
58,荒木　郁也,.118,49,22,17,2,0,0,4,2,0,7,3,0,.211,.118,.328,1.48,1.67,阪神,2017
62,植田　海,.278,13,22,18,5,0,0,1,1,0,6,3,0,.316,.278,.594,2.54,2.54,阪神,2017
55,陽川　尚将,.167,12,19,18,3,1,1,0,1,0,8,0,0,.211,.333,.544,2.12,2.47,阪神,2017
25,江越　大賀,.077,28,18,13,1,0,0,1,3,2,5,0,0,.333,.077,.410,2.36,2.84,阪神,2017
32,新井　良太,.063,17,17,16,1,0,0,0,1,0,3,0,0,.118,.063,.180,-1.27,-0.95,阪神,2017
99,狩野　恵輔,.000,5,5,5,0,0,0,0,0,0,2,0,1,.000,.000,.000,-3.82,-3.78,阪神,2017
63,板山　祐太郎,.000,3,3,3,0,0,0,0,0,0,3,0,0,.000,.000,.000,-2.92,-2.61,阪神,2017
39,長坂　拳弥,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00,阪神,2017
24,横田　慎太郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
49,今成　亮太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
52,小豆畑　眞也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
59,小宮山　慎二,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
65,緒方　凌介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,阪神,2017
37,桑原　将志,.269,143,664,598,161,13,52,10,45,11,116,10,8,.332,.415,.747,4.68,4.54,横浜,2017
2,ロペス,.301,142,606,569,171,30,105,0,27,2,80,0,14,.330,.533,.863,6.13,6.05,横浜,2017
25,筒香　嘉智,.284,139,601,503,143,28,94,1,93,2,115,0,7,.396,.513,.909,7.59,7.45,横浜,2017
3,梶谷　隆幸,.243,137,578,511,124,21,60,21,62,3,157,0,10,.327,.427,.754,5.00,5.00,横浜,2017
5,倉本　寿彦,.262,143,539,507,133,2,50,3,18,4,102,9,10,.292,.331,.624,3.20,3.08,横浜,2017
51,宮﨑　敏郎,.323,128,523,480,155,15,62,0,38,4,47,0,23,.377,.479,.856,6.08,5.78,横浜,2017
10,戸柱　恭孝,.214,112,363,336,72,9,52,0,19,0,59,6,9,.255,.333,.588,2.49,2.61,横浜,2017
31,柴田　竜拓,.233,88,248,215,50,1,11,1,17,3,50,11,2,.295,.284,.579,2.83,2.92,横浜,2017
7,石川　雄洋,.246,63,192,167,41,2,11,1,12,4,41,6,4,.306,.323,.630,3.21,3.36,横浜,2017
67,田中　浩康,.201,66,175,154,31,1,20,2,11,2,25,8,4,.263,.253,.517,1.92,2.00,横浜,2017
39,嶺井　博希,.248,52,135,121,30,3,12,0,4,6,35,4,3,.305,.364,.669,3.58,3.58,横浜,2017
33,乙坂　智,.190,83,66,63,12,2,3,0,1,1,13,1,0,.215,.333,.549,2.26,2.37,横浜,2017
4,荒波　翔,.226,47,65,62,14,0,1,0,2,1,16,0,1,.262,.306,.568,2.48,2.37,横浜,2017
42,エリアン,.250,25,62,56,14,1,1,0,6,0,22,0,2,.323,.321,.644,3.34,3.38,横浜,2017
32,髙城　俊人,.250,29,61,56,14,0,4,0,3,0,15,2,1,.288,.357,.645,3.05,3.01,横浜,2017
6,白崎　浩之,.185,34,55,54,10,0,4,0,1,0,19,0,0,.200,.241,.441,1.12,1.16,横浜,2017
55,Ｇ．後藤　武敏,.115,26,29,26,3,0,3,0,3,0,7,0,1,.207,.154,.361,0.08,0.27,横浜,2017
98,シリアコ,.074,12,28,27,2,0,0,0,1,0,10,0,0,.107,.111,.218,-1.05,-0.83,横浜,2017
44,佐野　恵太,.095,18,24,21,2,0,1,0,3,0,5,0,0,.208,.143,.351,0.45,0.70,横浜,2017
38,山下　幸輝,.143,21,21,21,3,0,0,0,0,0,6,0,0,.143,.238,.381,0.39,0.41,横浜,2017
63,関根　大気,.158,29,20,19,3,0,1,0,1,0,5,0,0,.200,.158,.358,0.39,0.61,横浜,2017
61,松本　啓二朗,.250,13,14,12,3,0,0,0,0,2,2,0,0,.357,.250,.607,3.98,4.05,横浜,2017
60,白根　尚貴,.231,12,13,13,3,1,2,0,0,0,2,0,0,.231,.462,.692,3.88,4.10,横浜,2017
50,下園　辰哉,.100,8,11,10,1,0,0,0,1,0,2,0,1,.182,.100,.282,-1.17,-0.97,横浜,2017
52,細川　成也,.400,2,6,5,2,2,4,0,1,0,3,0,0,.500,1.600,2.100,27.29,26.37,横浜,2017
40,飛雄馬,.000,3,5,5,0,0,1,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43,横浜,2017
66,西森　将司,.000,8,3,3,0,0,0,0,0,0,3,0,0,.000,.000,.000,-2.92,-2.61,横浜,2017
0,山崎　憲晴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
9,黒羽根　利規,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
23,松尾　大河,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
36,狩野　行寿,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
57,青柳　昴樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
64,百瀬　大騎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,横浜,2017
6,坂本　勇人,.291,142,614,539,157,15,61,14,68,3,85,1,16,.372,.430,.802,5.69,5.55,巨人,2017
33,マギー,.315,139,586,523,165,18,77,4,58,1,107,0,20,.382,.514,.897,6.79,6.46,巨人,2017
7,長野　久義,.261,134,516,463,121,16,46,6,46,5,98,1,17,.334,.421,.755,4.72,4.66,巨人,2017
10,阿部　慎之助,.262,129,512,455,119,15,76,0,41,8,67,1,13,.329,.389,.718,4.35,4.51,巨人,2017
22,小林　誠司,.206,138,443,378,78,2,27,2,41,2,64,19,12,.285,.257,.542,2.19,2.29,巨人,2017
25,村田　修一,.262,118,424,381,100,14,58,0,34,6,63,1,15,.331,.423,.754,4.56,4.55,巨人,2017
2,陽　岱鋼,.264,87,381,330,87,9,33,4,41,7,80,2,6,.356,.406,.762,5.24,5.16,巨人,2017
9,亀井　善行,.251,109,277,247,62,6,47,1,27,1,38,0,4,.325,.389,.714,4.56,4.53,巨人,2017
61,中井　大介,.249,90,254,229,57,5,15,2,19,1,44,4,5,.308,.376,.684,3.87,3.85,巨人,2017
49,石川　慎吾,.242,99,251,236,57,5,20,2,13,2,51,0,8,.287,.381,.668,3.45,3.38,巨人,2017
58,立岡　宗一郎,.208,62,214,197,41,0,10,4,11,0,43,6,1,.250,.254,.504,1.70,1.79,巨人,2017
32,橋本　到,.267,78,139,120,32,1,6,3,11,1,30,6,2,.331,.367,.697,4.07,4.01,巨人,2017
56,山本　泰寛,.182,29,83,66,12,1,7,1,9,1,18,7,1,.289,.258,.547,2.44,2.56,巨人,2017
43,重信　慎之介,.157,74,77,70,11,0,2,10,6,0,21,1,0,.224,.214,.438,1.33,1.48,巨人,2017
12,脇谷　亮太,.250,52,68,64,16,0,0,0,3,0,14,1,2,.284,.250,.534,2.03,2.06,巨人,2017
52,宇佐見　真吾,.350,21,45,40,14,4,8,0,3,2,14,0,0,.422,.650,1.072,10.66,10.40,巨人,2017
23,相川　亮二,.158,29,40,38,6,0,3,0,1,0,9,0,1,.175,.184,.359,0.10,0.48,巨人,2017
65,辻　東倫,.250,18,36,32,8,0,1,1,4,0,7,0,1,.333,.250,.583,3.15,3.19,巨人,2017
38,岡本　和真,.194,15,35,31,6,0,2,0,4,0,10,0,0,.286,.226,.512,2.31,2.43,巨人,2017
00,寺内　崇幸,.240,83,34,25,6,1,6,1,3,1,8,5,0,.345,.560,.905,6.02,5.75,巨人,2017
11,クルーズ,.156,9,33,32,5,0,3,0,0,0,3,0,1,.152,.188,.339,-0.15,0.25,巨人,2017
27,實松　一成,.000,14,13,8,0,0,0,0,2,2,6,1,0,.333,.000,.333,1.35,1.62,巨人,2017
0,吉川　尚輝,.273,5,12,11,3,0,0,1,0,0,2,1,0,.273,.273,.545,3.03,2.94,巨人,2017
5,ギャレット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
8,片岡　治大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
31,松本　哲也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
51,堂上　剛裕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
57,藤村　大介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
59,柿澤　貴裕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
66,北　篤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
67,和田　恋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
68,吉川　大幾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
69,松崎　啄也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
94,河野　元貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
95,鬼屋敷　正人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,巨人,2017
51,京田　陽太,.264,141,602,564,149,4,36,23,18,9,105,10,5,.297,.355,.652,3.58,3.50,中日,2017
8,大島　洋平,.313,119,521,476,149,3,29,23,37,4,66,1,5,.365,.387,.752,5.64,5.43,中日,2017
42,ゲレーロ,.279,130,510,469,131,35,86,1,24,15,98,0,13,.333,.563,.896,6.38,6.35,中日,2017
4,藤井　淳志,.265,128,408,374,99,6,42,5,24,2,96,6,6,.311,.377,.688,3.86,3.82,中日,2017
66,ビシエド,.250,87,367,332,83,18,49,4,29,5,52,0,10,.319,.452,.771,4.87,4.93,中日,2017
55,福田　永将,.271,95,326,299,81,18,49,0,21,5,70,0,4,.328,.515,.843,5.95,5.89,中日,2017
53,亀澤　恭平,.287,98,290,254,73,2,13,6,13,3,30,18,1,.327,.331,.658,3.72,3.72,中日,2017
6,平田　良介,.244,66,270,238,58,6,29,4,29,1,60,0,4,.326,.395,.721,4.68,4.69,中日,2017
2,荒木　雅博,.249,85,267,249,62,0,8,5,13,0,41,5,8,.286,.281,.567,2.51,2.47,中日,2017
38,松井　雅人,.221,87,244,208,46,2,17,0,22,3,63,10,3,.303,.293,.597,3.00,3.07,中日,2017
63,堂上　直倫,.205,91,167,151,31,1,8,0,9,0,39,7,4,.250,.272,.522,1.69,1.72,中日,2017
3,高橋　周平,.233,41,148,129,30,2,10,0,15,0,31,1,3,.306,.326,.632,3.13,3.39,中日,2017
56,松井　佑介,.277,56,129,119,33,4,18,0,6,3,38,1,2,.328,.437,.765,5.04,4.86,中日,2017
23,遠藤　一星,.225,50,109,102,23,2,11,2,4,1,28,2,1,.262,.333,.595,2.78,2.83,中日,2017
70,谷　哲也,.217,53,100,92,20,2,11,0,5,0,23,2,0,.255,.315,.570,2.54,2.74,中日,2017
35,木下　拓哉,.192,51,94,78,15,0,4,0,10,1,21,4,4,.289,.256,.545,1.96,2.05,中日,2017
45,杉山　翔大,.091,39,83,66,6,0,1,0,9,2,16,5,1,.218,.091,.309,0.15,0.53,中日,2017
52,武山　真吾,.227,50,76,66,15,1,7,0,7,1,21,2,3,.311,.288,.599,2.62,2.70,中日,2017
62,工藤　隆人,.235,82,58,51,12,0,0,3,3,0,13,4,1,.278,.255,.533,2.17,2.13,中日,2017
7,森野　将彦,.244,22,48,41,10,0,1,0,5,0,3,2,1,.326,.293,.619,2.91,2.87,中日,2017
5,阿部　寿樹,.268,21,46,41,11,0,2,1,4,0,13,1,0,.333,.293,.626,3.99,3.92,中日,2017
31,野本　圭,.200,15,35,35,7,0,0,0,0,0,5,0,2,.200,.257,.457,0.60,0.58,中日,2017
26,井領　雅貴,.219,22,34,32,7,0,3,0,2,0,6,0,0,.265,.281,.546,2.55,2.51,中日,2017
67,近藤　弘基,.207,14,33,29,6,1,1,0,3,0,7,1,1,.281,.345,.626,2.84,2.94,中日,2017
9,石川　駿,.353,9,17,17,6,1,1,0,0,0,5,0,0,.353,.529,.882,7.38,7.14,中日,2017
1,友永　翔太,.250,5,17,16,4,0,2,0,0,1,4,0,0,.294,.375,.669,2.97,2.80,中日,2017
48,溝脇　隼人,.071,12,16,14,1,1,1,0,2,0,5,0,1,.188,.286,.473,0.56,1.04,中日,2017
36,石岡　諒太,.000,2,4,4,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.75,-2.50,中日,2017
32,石垣　雅海,.000,1,3,3,0,0,0,0,0,0,3,0,0,.000,.000,.000,-2.92,-2.61,中日,2017
37,三ツ俣　大樹,.000,8,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-5.85,-5.54,中日,2017
39,加藤　匠馬,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43,中日,2017
40,桂　依央利,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
46,古本　武尊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
68,赤田　龍一郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
69,赤坂　和幸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,中日,2017
1,山田　哲人,.247,143,624,526,130,24,78,14,91,6,132,0,15,.364,.435,.799,5.57,5.57,ヤクルト,2017
42,坂口　智隆,.290,136,607,535,155,4,38,4,59,5,76,5,6,.364,.350,.713,4.95,4.86,ヤクルト,2017
4,バレンティン,.254,125,519,445,113,32,80,0,70,3,112,0,18,.358,.506,.864,5.88,5.95,ヤクルト,2017
52,中村　悠平,.243,127,486,419,102,4,34,2,42,10,65,11,14,.324,.325,.649,3.46,3.53,ヤクルト,2017
2,大引　啓次,.227,80,311,273,62,5,29,3,27,1,43,10,8,.299,.322,.621,3.09,3.10,ヤクルト,2017
51,藤井　亮太,.257,97,309,292,75,2,12,5,9,1,56,6,6,.281,.288,.568,2.48,2.53,ヤクルト,2017
41,雄平,.306,71,300,281,86,2,32,2,12,5,42,0,5,.343,.402,.745,4.93,4.70,ヤクルト,2017
31,山崎　晃大朗,.242,59,246,219,53,1,13,6,18,0,44,9,3,.300,.320,.619,3.04,2.99,ヤクルト,2017
10,荒木　貴裕,.207,91,212,188,39,6,25,2,14,3,30,7,7,.273,.367,.640,2.95,3.01,ヤクルト,2017
39,リベロ,.215,54,208,200,43,6,21,0,7,0,52,0,5,.240,.355,.595,2.50,2.60,ヤクルト,2017
50,上田　剛史,.234,100,188,167,39,0,11,6,8,2,26,8,0,.272,.299,.572,2.78,2.97,ヤクルト,2017
3,西浦　直亨,.208,72,171,144,30,0,8,3,16,1,31,8,5,.288,.250,.538,2.23,2.35,ヤクルト,2017
66,大松　尚逸,.162,94,143,130,21,3,16,0,13,0,27,0,5,.238,.254,.492,1.34,1.54,ヤクルト,2017
56,奥村　展征,.239,44,125,113,27,0,5,1,9,1,33,1,3,.298,.274,.573,2.54,2.62,ヤクルト,2017
8,武内　晋一,.204,66,104,93,19,0,5,0,8,0,15,1,4,.267,.204,.472,1.11,1.21,ヤクルト,2017
46,谷内　亮太,.198,42,104,91,18,0,7,0,9,0,19,4,3,.270,.220,.490,1.55,1.63,ヤクルト,2017
91,鵜久森　淳志,.209,45,91,86,18,1,7,1,5,0,15,0,1,.253,.326,.578,2.70,2.68,ヤクルト,2017
30,西田　明央,.137,37,86,73,10,1,7,1,11,1,20,0,2,.256,.219,.475,1.57,1.91,ヤクルト,2017
40,グリーン,.194,25,81,72,14,2,8,0,7,2,17,0,2,.284,.306,.590,2.67,2.83,ヤクルト,2017
33,畠山　和洋,.212,15,62,52,11,2,4,0,8,2,13,0,2,.339,.385,.723,4.28,4.34,ヤクルト,2017
36,廣岡　大志,.250,11,31,28,7,0,1,0,2,1,11,0,1,.323,.286,.608,2.98,2.93,ヤクルト,2017
0,比屋根　渉,.217,35,24,23,5,0,0,0,1,0,8,0,0,.250,.261,.511,1.44,1.51,ヤクルト,2017
9,飯原　誉士,.188,17,18,16,3,0,0,0,2,0,2,0,0,.278,.188,.465,1.86,2.06,ヤクルト,2017
59,今浪　隆博,.267,7,17,15,4,0,2,0,1,0,0,1,0,.313,.467,.779,5.17,4.84,ヤクルト,2017
63,井野　卓,.167,7,13,12,2,0,1,0,0,0,2,1,0,.167,.167,.333,0.17,0.29,ヤクルト,2017
64,榎本　葵,.143,9,8,7,1,0,0,0,1,0,4,0,0,.250,.143,.393,0.91,1.22,ヤクルト,2017
60,三輪　正義,.000,16,6,4,0,0,0,0,0,0,0,2,0,.000,.000,.000,-1.43,-1.26,ヤクルト,2017
49,渡邉　大樹,.000,2,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57,ヤクルト,2017
37,星野　雄大,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00,ヤクルト,2017
5,川端　慎吾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
55,山川　晃司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
57,古賀　優大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
65,原　泉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,ヤクルト,2017
2,今宮　健太,.264,141,623,526,139,14,64,15,38,4,93,52,12,.317,.422,.739,4.26,4.20,ソフトバンク,2017
7,中村　晃,.270,143,600,511,138,6,42,3,67,3,57,14,5,.355,.350,.705,4.63,4.65,ソフトバンク,2017
3,松田　宣浩,.264,143,577,531,140,24,71,5,43,1,128,0,16,.319,.458,.777,4.84,4.84,ソフトバンク,2017
9,柳田　悠岐,.310,130,551,448,139,31,99,14,89,7,123,0,6,.426,.589,1.016,9.17,8.99,ソフトバンク,2017
54,デスパイネ,.262,136,545,478,125,35,103,3,59,5,119,0,14,.347,.513,.859,6.01,6.09,ソフトバンク,2017
51,上林　誠知,.260,134,453,415,108,13,51,12,24,2,96,10,3,.302,.434,.736,4.28,4.25,ソフトバンク,2017
8,明石　健志,.279,103,339,290,81,1,23,5,30,1,57,15,3,.346,.345,.691,4.14,4.12,ソフトバンク,2017
1,内川　聖一,.297,73,300,266,79,12,50,0,32,0,26,0,9,.370,.481,.851,6.13,6.05,ソフトバンク,2017
62,甲斐　拓也,.232,103,257,207,48,5,18,4,26,2,68,22,2,.323,.372,.695,4.10,4.06,ソフトバンク,2017
12,髙谷　裕亮,.206,92,195,175,36,1,20,0,12,1,30,5,1,.258,.246,.504,1.93,2.14,ソフトバンク,2017
52,川﨑　宗則,.241,42,156,137,33,0,4,0,11,3,37,4,0,.309,.314,.623,3.35,3.33,ソフトバンク,2017
46,本多　雄一,.213,62,143,122,26,0,8,3,12,0,20,9,2,.284,.262,.546,2.26,2.26,ソフトバンク,2017
4,川島　慶三,.264,81,137,110,29,5,13,2,18,2,24,6,1,.374,.464,.838,5.94,5.94,ソフトバンク,2017
0,髙田　知季,.228,58,130,114,26,2,8,2,5,2,28,9,0,.273,.351,.624,3.30,3.28,ソフトバンク,2017
37,福田　秀平,.183,104,113,104,19,3,16,4,6,0,34,3,1,.227,.308,.535,1.96,2.15,ソフトバンク,2017
43,江川　智晃,.179,32,71,67,12,1,5,0,2,1,20,1,0,.214,.269,.483,1.60,1.71,ソフトバンク,2017
24,長谷川　勇也,.216,23,44,37,8,2,7,1,7,0,15,0,0,.341,.514,.854,6.52,6.53,ソフトバンク,2017
33,鶴岡　慎也,.321,29,32,28,9,3,5,0,3,0,3,1,1,.387,.643,1.030,8.13,8.07,ソフトバンク,2017
32,塚田　正義,.154,14,27,26,4,2,2,0,0,1,8,0,1,.185,.423,.608,2.06,2.38,ソフトバンク,2017
6,吉村　裕基,.176,8,19,17,3,2,2,0,1,1,7,0,1,.263,.529,.793,3.84,4.27,ソフトバンク,2017
27,ジェンセン,.083,6,14,12,1,1,1,0,2,0,9,0,0,.214,.333,.548,2.05,2.60,ソフトバンク,2017
